id,date,domain,srrank,traffic,unique_year_month
702,2023-01-15,uknewsgroup.co.uk,1186288,72,2023-01
752,2023-02-15,uknewsgroup.co.uk,795092,166,2023-02
802,2023-03-15,uknewsgroup.co.uk,804671,157,2023-03
852,2023-04-15,uknewsgroup.co.uk,938065,103,2023-04
853,2023-05-15,uknewsgroup.co.uk,822151,134,2023-05
854,2023-06-15,uknewsgroup.co.uk,513111,309,2023-06
855,2023-07-15,uknewsgroup.co.uk,339828,592,2023-07
856,2023-08-15,uknewsgroup.co.uk,518048,306,2023-08
857,2023-09-15,uknewsgroup.co.uk,509921,307,2023-09
858,2023-10-15,uknewsgroup.co.uk,484061,341,2023-10
859,2023-11-15,uknewsgroup.co.uk,543663,285,2023-11
860,2023-12-15,uknewsgroup.co.uk,326309,630,2023-12
861,2023-01-15,sorry-about-the-mess.co.uk,237959,1164,2023-01
862,2023-02-15,sorry-about-the-mess.co.uk,257374,1048,2023-02
863,2023-03-15,sorry-about-the-mess.co.uk,288520,867,2023-03
864,2023-04-15,sorry-about-the-mess.co.uk,254985,920,2023-04
865,2023-05-15,sorry-about-the-mess.co.uk,355631,556,2023-05
866,2023-06-15,sorry-about-the-mess.co.uk,426347,417,2023-06
867,2023-07-15,sorry-about-the-mess.co.uk,314831,663,2023-07
868,2023-08-15,sorry-about-the-mess.co.uk,220070,1124,2023-08
869,2023-09-15,sorry-about-the-mess.co.uk,237986,990,2023-09
870,2023-10-15,sorry-about-the-mess.co.uk,463403,367,2023-10
871,2023-11-15,sorry-about-the-mess.co.uk,367932,538,2023-11
872,2023-12-15,sorry-about-the-mess.co.uk,341067,590,2023-12
873,2023-01-15,beccafarrelly.co.uk,594063,278,2023-01
874,2023-02-15,beccafarrelly.co.uk,529047,341,2023-02
875,2023-03-15,beccafarrelly.co.uk,364706,608,2023-03
876,2023-04-15,beccafarrelly.co.uk,494471,333,2023-04
877,2023-05-15,beccafarrelly.co.uk,610561,230,2023-05
878,2023-06-15,beccafarrelly.co.uk,513552,309,2023-06
879,2023-07-15,beccafarrelly.co.uk,612426,227,2023-07
880,2023-08-15,beccafarrelly.co.uk,721698,172,2023-08
881,2023-09-15,beccafarrelly.co.uk,685542,182,2023-09
882,2023-10-15,beccafarrelly.co.uk,724636,171,2023-10
883,2023-11-15,beccafarrelly.co.uk,523207,306,2023-11
884,2023-12-15,beccafarrelly.co.uk,280972,791,2023-12
885,2023-01-15,wheon.com,93568,4032,2023-01
886,2023-02-15,wheon.com,112353,3207,2023-02
887,2023-03-15,wheon.com,155112,2074,2023-03
888,2023-04-15,wheon.com,164515,1693,2023-04
889,2023-05-15,wheon.com,138174,2102,2023-05
890,2023-06-15,wheon.com,109856,2816,2023-06
891,2023-07-15,wheon.com,132324,2213,2023-07
892,2023-08-15,wheon.com,114601,2688,2023-08
893,2023-09-15,wheon.com,109918,2797,2023-09
894,2023-10-15,wheon.com,151417,1872,2023-10
895,2023-11-15,wheon.com,158005,1802,2023-11
896,2023-12-15,wheon.com,181404,1477,2023-12
897,2023-01-15,techacrobat.com,586325,284,2023-01
898,2023-02-15,techacrobat.com,617534,261,2023-02
899,2023-03-15,techacrobat.com,689627,210,2023-03
900,2023-04-15,techacrobat.com,673836,195,2023-04
901,2023-05-15,techacrobat.com,658747,202,2023-05
902,2023-06-15,techacrobat.com,706821,177,2023-06
